title,description,url,img_url,youtube_video,Sub_region,Calories,Protein,Time
Pakistani Batter-Fried Potatoes,A different way to eat your potatoes! The batter makes your ordinary spuds spicy and delicious for a Pakistani-style snack. Try this with sliced eggplant as well!,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5145,https://images.media-allrecipes.com/userphotos/560x315/4478080.jpg,https://www.youtube.com/results?search_query=How+to+make+Pakistani+Batter-Fried+Potatoes,Pakistani,305.0,14.6917,25
Sweet Rice (Zarda),"This is a traditional Pakistani sweet dish, which is must for every occasion. It is easy to make and consists of simple ingredients rather than rich and calorie rich ingredients. Try substituting ricotta for the cream and varying the dry fruit and nuts.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5146,https://images.media-allrecipes.com/userphotos/560x315/1662003.jpg,https://www.youtube.com/results?search_query=How+to+make+Sweet+Rice+(Zarda),Pakistani,394.0,54.3896,50
Chicken Biryani,"Chicken biryani is a delicious Pakistani/Indian rice dish that's typically reserved for special occasions such as weddings, parties, or holidays such as Ramadan. It has a lengthy preparation, but the work is definitely worth it. For biryani, basmati rice is the ideal variety to use.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5150,https://images.media-allrecipes.com/userphotos/560x315/1932914.jpg,https://www.youtube.com/results?search_query=How+to+make+Chicken+Biryani,Pakistani,832.0,372.2644,0
Pakistani Spicy Chickpeas,Chickpeas appetizer eaten often during Ramadan at Iftar.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/5152,https://images.media-allrecipes.com/userphotos/560x315/17581.jpg,https://www.youtube.com/results?search_query=How+to+make+Pakistani+Spicy+Chickpeas,Pakistani,205.0,129.0593,0
Goan Prawn Pulao,Prawn curry is a dish that is eaten on a regular everyday basis with white rice among the Goan/Konkan community.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4312,https://images.media-allrecipes.com/images/79591.png,https://www.youtube.com/results?search_query=How+to+make+Goan+Prawn+Pulao,Indian,102.0,50.1533,30
Lamb Korma,"Originated in Persia, brought to India during Akbar period, and modified in Kashmir.
The recipe varies from region to region and restaurant to restaurant. North Indian Korma is pale yellow in color from saffron and cooked without any tomatoes or turmeric. This recipe version will be the closest to the traditional Kashmiri Korma. Kashmir Pandits substitute onion and garlic with asafoetida. Serve with jasmine rice and mango chutney.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4313,https://images.media-allrecipes.com/userphotos/560x315/4469168.jpg,https://www.youtube.com/results?search_query=How+to+make+Lamb+Korma,Indian,301.0,199.9225,85
"Bell Pepper, Tomato, and Potato Indian Curry","This is an authentic, vegetarian, simple, and colorful main dish served with fluffy basmati rice or chapatis. I'm from India and I completely adore Indian cooking; I hope you like this recipe. A word of caution: it could be a little too hot for some folks...feel free to reduce or even skip the hot ingredients! Enjoy!",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4314,https://images.media-allrecipes.com/userphotos/560x315/5526156.jpg,"https://www.youtube.com/results?search_query=How+to+make+Bell+Pepper,+Tomato,+and+Potato+Indian+Curry",Indian,328.0,8.9509,55
Vegetarian Chickpea Curry with Turnips,"This is a great recipe if you don't want to fuss around in the kitchen. I discovered it one night when I wanted something packed with flavor, but wasn't willing to slave away in the kitchen. It's a meaty dish, with a hint of curry and cumin flavor. Serve on it's own or on some basmati rice. I hope you enjoy it as much as I do!",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4315,https://images.media-allrecipes.com/userphotos/250x250/677780.jpg,https://www.youtube.com/results?search_query=How+to+make+Vegetarian+Chickpea+Curry+with+Turnips,Indian,226.0,70.6291,125
Pomfret Macher Jhaal (Pomfret Fish Curry),This is a Bengali delicacy and a good recipe for a pomfret fish lover. It is spicy and tangy. Definitely an easy recipe worth trying. Serve hot with rice.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4317,https://images.media-allrecipes.com/images/79591.png,https://www.youtube.com/results?search_query=How+to+make+Pomfret+Macher+Jhaal+(Pomfret+Fish+Curry),Indian,495.0,10.8202,45
Pumpkin Curry with Lentils and Apples,This dish makes a hearty autumn or winter meal with its unique combination of ingredients. What a delicious vegetarian dish!,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4318,https://images.media-allrecipes.com/userphotos/250x250/922471.jpg,https://www.youtube.com/results?search_query=How+to+make+Pumpkin+Curry+with+Lentils+and+Apples,Indian,360.0,62.004,130
Pork Vindaloo,"Working on my Indian cooking for the moment. Although very little pork is consumed in India, this dish is a specialty of Goan cooking, and vindaloo dishes always contain vinegar. Serve with rice.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4320,https://images.media-allrecipes.com/userphotos/560x315/1106897.jpg,https://www.youtube.com/results?search_query=How+to+make+Pork+Vindaloo,Indian,209.0,76.1951,580
Masala Beef with Ginger and Curry Leaf,"This is a real delight for the beef eaters. The roots of this recipe are Portuguese; it's widely prepared among the Syrian Christians in Kerala, India. Basically you cut the beef into small cubes and fry in the spicy ingredients. It's so yummy and it goes well with white rice.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4325,https://images.media-allrecipes.com/userphotos/560x315/1285237.jpg,https://www.youtube.com/results?search_query=How+to+make+Masala+Beef+with+Ginger+and+Curry+Leaf,Indian,489.0,185.9151,75
Vegetarian Korma,"This vegetablekormarecipe is an easy vegetarian curry. It's rich, creamy, mildly spiced, and extremely flavorful. Serve with naan and rice.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4326,https://images.media-allrecipes.com/userphotos/560x315/3787267.jpg,https://www.youtube.com/results?search_query=How+to+make+Vegetarian+Korma,Indian,462.0,19.5002,55
"Pumpkin, Butter Bean, and Spinach Curry","Mild, creamy vegetarian curry that the whole family will love! And so EASY to make!",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4327,https://images.media-allrecipes.com/userphotos/250x250/309556.jpg,"https://www.youtube.com/results?search_query=How+to+make+Pumpkin,+Butter+Bean,+and+Spinach+Curry",Indian,445.0,14.6258,45
Bhuna Gosht,"What makes this curry special is the 'bhuna' part. This consists of pan-frying the meat with spices. The meat cooks in its own juices, which is what gives the deep flavour. It is a bit time consuming, but the end result is delicious.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4328,https://images.media-allrecipes.com/userphotos/250x250/799468.jpg,https://www.youtube.com/results?search_query=How+to+make+Bhuna+Gosht,Indian,453.0,197.6464,65
Tandoori Fish,"An Indian recipe for marinated white fish that works well with catfish, tilapia, or orange roughy. As with all Indian dishes, feel free to adjust the spices to your preferences.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4329,https://images.media-allrecipes.com/userphotos/250x250/535868.jpg,https://www.youtube.com/results?search_query=How+to+make+Tandoori+Fish,Indian,380.0,182.7164,267
Indian Egg Curry,Made with the easiest ingredients and tastes yummy. Garnish with cilantro leaves and serve hot with any kind of bread.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4331,https://images.media-allrecipes.com/images/79591.png,https://www.youtube.com/results?search_query=How+to+make+Indian+Egg+Curry,Indian,200.0,10.7618,35
Tofu Vindaloo,This is an easy vegetarian tofu vindaloo similar to the kind found in Indian restaurants. Serve with basmati rice.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4332,https://geniuskitchen.sndimg.com/gk/img/gk-shareGraphic.png,https://www.youtube.com/results?search_query=How+to+make+Tofu+Vindaloo,Indian,413.0,132.6237,60
Indian Style Sheekh Kabab,These lamb seekh kebabs are a spicy and extremely flavorful recipe that will surely be a hit at any outdoor party.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4334,https://images.media-allrecipes.com/userphotos/560x315/44310.jpg,https://www.youtube.com/results?search_query=How+to+make+Indian+Style+Sheekh+Kabab,Indian,304.0,158.8857,145
Palak Paneer (Curried Spinach),"Indian dish that can act as an entree if you add add tofu, chicken, salmon, etc. It tastes great even when you don't have access to all of the traditional spices.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4336,https://images.media-allrecipes.com/userphotos/560x315/6350580.jpg,https://www.youtube.com/results?search_query=How+to+make+Palak+Paneer+(Curried+Spinach),Indian,294.0,55.3478,64
Paleo Slow Cooker Pork Loin,Paleo. Pork. Goodness.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4337,https://images.media-allrecipes.com/userphotos/250x250/656638.jpg,https://www.youtube.com/results?search_query=How+to+make+Paleo+Slow+Cooker+Pork+Loin,Indian,216.0,200.1988,315
Indian Stir-Fried Shrimp in Cream Sauce (Bhagari Jhinga),"This Indian-style Bhagari Jhinga is a fast and flavorful stir-fried shrimp dish in a creamy, mildly spiced sauce. Quick and easy to prepare, it pairs perfectly with fragrant basmati rice for a satisfying meal.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4339,https://images.media-allrecipes.com/userphotos/560x315/3097046.jpg,https://www.youtube.com/results?search_query=How+to+make+Indian+Stir-Fried+Shrimp+in+Cream+Sauce+(Bhagari+Jhinga),Indian,338.0,121.0435,30
Pixie's Indian Style Halibut,This recipe is actually something my husband makes on a regular basis and everyone raves about it!!! it's very good. He mostly uses halibut to make this but salmon or cod work very well also.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4342,https://images.media-allrecipes.com/userphotos/560x315/1025307.jpg,https://www.youtube.com/results?search_query=How+to+make+Pixie's+Indian+Style+Halibut,Indian,281.0,2.2077,21
Delicious Chana Masala,"This chana dal masala is a delicious dish of chickpeas, onions, and tomatoes! You will love this stuff! I suggest eating this dish with fresh fried naan.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4344,https://images.media-allrecipes.com/userphotos/560x315/1107514.jpg,https://www.youtube.com/results?search_query=How+to+make+Delicious+Chana+Masala,Indian,412.0,182.4663,45
Chana Masala (Chickpeas and Tomatoes),This chickpea and tomato recipe is a delicious blend of Indian spices that can be served with jasmine rice or couscous.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4345,https://images.media-allrecipes.com/userphotos/560x315/3353498.jpg,https://www.youtube.com/results?search_query=How+to+make+Chana+Masala+(Chickpeas+and+Tomatoes),Indian,486.0,137.7438,40
Mal's Samosa Quesadillas with Curried Cabbage and Chickpeas,"This may sound like a lot of ingredients, but I usually have these spices on hand. The main ingredients make this a cheap dish. Who wants to make samosas by hand when you can make these? Serve hot or warm with your favorite chutney, if you like.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4347,https://images.media-allrecipes.com/images/79591.png,https://www.youtube.com/results?search_query=How+to+make+Mal's+Samosa+Quesadillas+with+Curried+Cabbage+and+Chickpeas,Indian,361.0,106.7551,60
Tofu Masala,"This flavorful blend of spices, vegetables, and tofu is great served over basmati rice.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4348,https://geniuskitchen.sndimg.com/gk/img/gk-shareGraphic.png,https://www.youtube.com/results?search_query=How+to+make+Tofu+Masala,Indian,332.0,66.2967,60
Bengaladumpa Vepudu (Potato Stir-Fry),This is a very simple yet delicious sabji. I love eating this with some rasam and rice on the side. You can use other vegetables such as plaintains or sweet potatoes too. Serve over rice.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4349,https://images.media-allrecipes.com/userphotos/560x315/1112243.jpg,https://www.youtube.com/results?search_query=How+to+make+Bengaladumpa+Vepudu+(Potato+Stir-Fry),Indian,229.0,10.0456,35
Potatoes in Spicy Peanut and Sesame Paste,"Diced potatoes are cooked in a creamy peanut and sesame seed sauce to create a rich and spicy dish. It takes a lot of ingredients and some effort but is definitely worth the try. All the ingredients can be found in an Indian grocery store very easily, and they are not expensive either. Bon appetite! Serve with warm pita bread/naan/wheat tortillas or with Indian fried rice.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4351,https://images.media-allrecipes.com/images/79591.png,https://www.youtube.com/results?search_query=How+to+make+Potatoes+in+Spicy+Peanut+and+Sesame+Paste,Indian,324.0,16.2124,85
Aloo Gobi,"Aloo gobi is a traditional Indian dish made of spiced cauliflower and potatoes. This dish is steamed and then fried in oil, making it intentionally dry and somewhat crispy. Warning: This dish is extremely spicy, which is the way I like it. However, if you don't want your food that spicy, feel free to cut down on the serrano pepper and/or cayenne pepper. Also, I recommend serving this with a side of raita or plain yogurt to cool the mouth down after eating.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4353,https://images.media-allrecipes.com/userphotos/250x250/404067.jpg,https://www.youtube.com/results?search_query=How+to+make+Aloo+Gobi,Indian,141.0,0.8573,65
Vendakka Paalu,"This is okra in coconut milk curry. Very simple to make and great with rice and naan for a complete meal. A spicy and very creamy vegan curry that will even please non-vegans. If you like more spice, use more peppers or other spices to your liking.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4355,https://images.media-allrecipes.com/userphotos/250x250/315079.jpg,https://www.youtube.com/results?search_query=How+to+make+Vendakka+Paalu,Indian,456.0,10.8522,35
Aviyal,"Aviyal is a south-Indian delicacy and seems like no two households make it the same. Essentially, all the recipes use the same ingredients – vegetables, curds(yogurt), coconut , spices – but the details and proportions vary. This is my mother's Andhra recipe for Aviyal. I hope you like it as much as we do.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4356,https://images.media-allrecipes.com/userphotos/250x250/592718.jpg,https://www.youtube.com/results?search_query=How+to+make+Aviyal,Indian,265.0,35.6338,165
Shahi Paneer (Royal Cheese),Serve this Shahi Paneer that my family loves with pulao rice or chappati.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4358,https://images.media-allrecipes.com/images/79591.png,https://www.youtube.com/results?search_query=How+to+make+Shahi+Paneer+(Royal+Cheese),Indian,303.0,33.8037,50
Punjabi Sukha Urad Dal,"This comforting urad dal, with its thick, creamy texture and rich flavor, is ideal on a cold day! Serve it with fresh phulkas and a crunchy side salad of chopped onion, tomato, and cucumber (kheera) to complete the meal.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4359,https://images.media-allrecipes.com/userphotos/560x315/3213997.jpg,https://www.youtube.com/results?search_query=How+to+make+Punjabi+Sukha+Urad+Dal,Indian,277.0,4.4644,55
Vegetable Masala,"Masala means a spicy mixture. Vegetable masala is a mixture of vegetables like potatoes, carrots, peas and beans cooked with onions & tomatoes adding spices like garam masala powder, ginger and garlic powder.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4360,https://images.media-allrecipes.com/userphotos/560x315/5224464.jpg,https://www.youtube.com/results?search_query=How+to+make+Vegetable+Masala,Indian,167.0,14.9012,30
Alu Baigan,Alu Baigan is a West Indian curry made with potato and eggplant which is served with roti or rice and kadhri. You can improvise with the ingredients if you are missing some; it tastes great even with just a few spices and hot pepper! I like my eggplant to be completely mushy.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4363,https://images.media-allrecipes.com/userphotos/560x315/2556518.jpg,https://www.youtube.com/results?search_query=How+to+make+Alu+Baigan,Indian,349.0,9.3239,60
Rosy's Palak Paneer,An Indian friend of mine showed me the ropes for cooking this delicious and completely authentic Indian dish of spinach and paneer.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4364,https://images.media-allrecipes.com/userphotos/250x250/767556.jpg,https://www.youtube.com/results?search_query=How+to+make+Rosy's+Palak+Paneer,Indian,366.0,57.5851,100
Easy Veggie Samosas,Quick vegetarian samosas with a curried garbanzo bean filling. You can adjust the amount of curry paste according to your taste.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4365,https://images.media-allrecipes.com/userphotos/560x315/376248.jpg,https://www.youtube.com/results?search_query=How+to+make+Easy+Veggie+Samosas,Indian,696.0,239.5319,45
Cabbage Koora,"This a very simple yet delicious Andhra recipe for cabbage koora (sabji). I like it so much that sometimes I eat it all by itself, like a salad with some yoghurt on the side. The spice here comes from the green chilis. Serve with rice.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4367,https://images.media-allrecipes.com/userphotos/560x315/2168619.jpg,https://www.youtube.com/results?search_query=How+to+make+Cabbage+Koora,Indian,232.0,2.9405,30
Vegetable Shepherd's Pie with Baked Beans,"Here's a spicy baked bean/vegetable mix with a creamy mashed potato topping. I invented this recipe for my boyfriend for Valentine's Day. This is suitable for vegetarians. Alterations can be made to the recipe by adding different types of vegetables or adding cheese to the topping. The recipe is based on the Indian style cooking and can be eaten as a dish (with or without adding other vegetables). You may omit some of the herbs, but make sure you keep the mustard seeds, cumin seeds, coriander, turmeric powder and chili!",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4368,https://images.media-allrecipes.com/userphotos/560x315/4476430.jpg,https://www.youtube.com/results?search_query=How+to+make+Vegetable+Shepherd's+Pie+with+Baked+Beans,Indian,166.0,25.3794,95
Kale and Spinach Saag,"I've been experimenting with saag recipes for a while now, and have finally concocted what I believe to be the best version so far. This recipe is for plain saag. Add lamb, chicken, paneer, or other deliciousness. Serve warm with rice or naan.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4370,https://images.media-allrecipes.com/userphotos/250x250/278731.jpg,https://www.youtube.com/results?search_query=How+to+make+Kale+and+Spinach+Saag,Indian,191.0,47.8444,55
Yellow Tarka Dal,"This is a comforting, authentic, East Indian dish that is packed with nutrients, nourishment, and flavor. It is a quick, easy, and economical dish perfect for a cold night. Parathas or rotis is a nice accompaniment. This dish is suitable for vegetarians. Serve over basmati rice garnished with fresh cilantro and lime wedges.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4371,https://images.media-allrecipes.com/images/79591.png,https://www.youtube.com/results?search_query=How+to+make+Yellow+Tarka+Dal,Indian,362.0,48.4168,170
Nimakayya Poori Koora,"This is the way my grandmother used to make poori sabji. She never ate onions, so this would satisfy even the most strict Brahmins.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4376,https://images.media-allrecipes.com/images/79591.png,https://www.youtube.com/results?search_query=How+to+make+Nimakayya+Poori+Koora,Indian,223.0,16.377,50
Gujarati Kadhi,"Gujarati kadhi is more watery than Punjabi kadhi, and I love it. I particularly like the sweet-and-sour flavor that is typical of Gujarati cooking. This kadhi is great to eat with plain rice or khichdi.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4377,https://images.media-allrecipes.com/userphotos/560x315/2526125.jpg,https://www.youtube.com/results?search_query=How+to+make+Gujarati+Kadhi,Indian,185.0,20.4821,25
Beetroot Aloo Koora,"This is one of my favorite ways to eat beetroot. The color is so vibrant. The sweetness of the beets works great with potatoes and the spices. This is an Andhra style dry koora, so eat with rice and ghee.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4379,https://images.media-allrecipes.com/userphotos/560x315/1049904.jpg,https://www.youtube.com/results?search_query=How+to+make+Beetroot+Aloo+Koora,Indian,321.0,1.247,40
Moong Dal with Spinach,"This is a comforting everyday dal. My kids love this dal mixed with cooked plain rice and ghee. Spinach adds texture, fiber, and essential nutrients.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4382,https://images.media-allrecipes.com/userphotos/250x250/357627.jpg,https://www.youtube.com/results?search_query=How+to+make+Moong+Dal+with+Spinach,Indian,270.0,1.3029,40
Palak Paneer,"Traditional pure vegetarian recipe, without onions or garlic! 100% made from scratch and absolutely delicious.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4383,https://images.media-allrecipes.com/userphotos/560x315/1005321.jpg,https://www.youtube.com/results?search_query=How+to+make+Palak+Paneer,Indian,517.0,128.4594,85
Slow Cooker Mild Curry Split Black Lentils,"Mild, creamy split black Indian lentils.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4385,https://images.media-allrecipes.com/images/79591.png,https://www.youtube.com/results?search_query=How+to+make+Slow+Cooker+Mild+Curry+Split+Black+Lentils,Indian,188.0,3.0422,310
Easy Masoor Daal,Fast and simple masoor daal using red lentils.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4386,https://images.media-allrecipes.com/userphotos/560x315/5267016.jpg,https://www.youtube.com/results?search_query=How+to+make+Easy+Masoor+Daal,Indian,185.0,46.6486,35
Spiced Moong Beans,This is a recipe that my husband's coworker gave me. It was so delicious with chapati.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4392,https://images.media-allrecipes.com/userphotos/560x315/1226440.jpg,https://www.youtube.com/results?search_query=How+to+make+Spiced+Moong+Beans,Indian,328.0,8.2754,520
Green Pea Poulourie,"These vegetarian balls can be served as a main dish or appetizer. As a main dish, serve with white or brown rice. As an appetizer, they are delicious dipped in tomato-ey sauce of any kind (ketchup, barbeque, salsa). In the rare event that there are leftovers, the balls take on a great texture when reheated in marinara sauce and are good served with pasta.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4396,https://images.media-allrecipes.com/userphotos/250x250/852228.jpg,https://www.youtube.com/results?search_query=How+to+make+Green+Pea+Poulourie,Indian,216.0,1.5108,225
Quick Indian Vegetarian Cottage Cheese Breakfast,"You are hungry, you don't have a lot of ingredients, but you have cottage cheese. If that's the case, then try this super fast recipe with as few ingredients as you can imagine. It's a quick yet delicious recipe for cheese lovers, vegetarians, or for anyone else. Serve hot with naan, tortilla, or brown bread.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4398,https://images.media-allrecipes.com/images/79591.png,https://www.youtube.com/results?search_query=How+to+make+Quick+Indian+Vegetarian+Cottage+Cheese+Breakfast,Indian,295.0,74.6045,20
Easy Indian-Style Pumpkin Curry,"This is a popular dish in Kerala, South India. It's made during the festivals and is an extremely nutritious and tasty preparation rich in antioxidants and vitamins. What's vital to the dish, however, is the process of frying the coconut in the end to season the dish. This imparts a unique flavor and aroma to this curry.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4399,https://images.media-allrecipes.com/userphotos/560x315/4648542.jpg,https://www.youtube.com/results?search_query=How+to+make+Easy+Indian-Style+Pumpkin+Curry,Indian,176.0,13.0221,40
Geeta Auntie's Potato (and Vegetable) Bhaji,"Quick, easy, Indian recipe to make for two. Double or even triple and serve to guests along with basmati rice and naan.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4400,https://images.media-allrecipes.com/userphotos/560x315/3239263.jpg,https://www.youtube.com/results?search_query=How+to+make+Geeta+Auntie's+Potato+(and+Vegetable)+Bhaji,Indian,434.0,3.491,45
Alicia's Aloo Gobi,"Alicia's aloo gobi is hands down the easiest and most delicious curry I have ever made. It's my personal twist on aloo gobi, a traditionally dry Indian dish consisting of potatoes and cauliflower. The coconut milk adds extra sauciness, which is my favorite part of curry. Serve with basmati rice or, better, with bread such as roti, naan, or pita.",https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4401,https://images.media-allrecipes.com/userphotos/560x315/4576411.jpg,https://www.youtube.com/results?search_query=How+to+make+Alicia's+Aloo+Gobi,Indian,622.0,76.7446,90
Anapakaya Paala Koora,This is a traditional Andra recipe for Bottle Gourd/Lauki/Opo squash. The milk brings out the sweetness of the bottle gourd. Serve this with rice as a part of an Andhra meal. Serve with rice.,https://cosylab.iiitd.edu.in/recipedb2/#/recipe/4402,https://images.media-allrecipes.com/images/79591.png,https://www.youtube.com/results?search_query=How+to+make+Anapakaya+Paala+Koora,Indian,96.0,3.1567,35
